Album_Name,Artist,Track_ID,Track_Name_Spotify,Artists_Spotify
"""Mr. Know It All"" (CD Single)",Kelly Clarkson,7uRznL3LcuazKpwCTpDltz,Mr. Know It All,['Kelly Clarkson']
"""Paradise"" (CD Single)",Coldplay,6nek1Nin9q48AVZcWs9e9D,Paradise,['Coldplay']
"""Gonna Get Over You"" (CD Single)",Sara Bareilles,45ou2UBThJA4WtFGIiYLI3,Gonna Get Over You,['Sara Bareilles']
"""Ours"" (CD Single)",Taylor Swift,1EQn3Uc5AyUXoiPLeyCrrg,Ours,['Taylor Swift']
"""Safe & Sound"" (CD Single)",Taylor Swift,0z9UVN8VBHJ9HdfYsOuuNf,Safe & Sound - from The Hunger Games Soundtrack,"['Taylor Swift', 'The Civil Wars']"
"""I Won't Give Up"" (CD Single)",Jason Mraz,53QF56cjZA9RTuuMZDrSA6,I Won't Give Up,['Jason Mraz']
"""Not Over You"" (CD Single)",Gavin DeGraw,6j7hih15xG2cdYwIJnQXsq,Not Over You,['Gavin DeGraw']
"""Gold on the Ceiling"" (CD Single)",The Black Keys,5lN1EH25gdiqT1SFALMAq1,Gold on the Ceiling,['The Black Keys']
"""Part of Me"" (CD Single)",Katy Perry,6yARPLK0PV4heEyh7pVMGz,Part Of Me,['Katy Perry']
"""Call Me Maybe"" (CD Single)",Carly Rae Jepsen,3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,['Carly Rae Jepsen']
"""Drive By"" (CD Single)",Train,0KAiuUOrLTIkzkpfpn9jb9,Drive By,['Train']
"""Eyes Open"" (CD Single)",Taylor Swift,7wjbSn8QHsxqKXU5M0jXGM,Eyes Open,['Taylor Swift']
"""Feel So Close"" (CD Single)",Calvin Harris,1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,['Calvin Harris']
"""Back in Time"" (CD Single)",Pitbull,3eQlGeyuSibgAGPEJugaDW,"Back in Time - featured in ""Men In Black 3""",['Pitbull']
"""Both of Us"" (CD Single)","B.o.B., Taylor Swift",3r9bgSJlJz2zlevcBRYXko,Both of Us (feat. Taylor Swift),"['B.o.B', 'Taylor Swift']"
"""Big Hoops (Bigger the Better)"" (CD Single)",Nelly Furtado,6DhLWSl0bmBAyDp0bODTop,Big Hoops (Bigger The Better),['Nelly Furtado']
"""Too Close"" (CD Single)",Alex Clare,4sK96UnGx3NjBaqvfTG2dm,Too Close,['Alex Clare']
"""Springsteen"" (CD Single)",Eric Church,05ZACkzW8YbRq3eFgIfSNB,Springsteen,['Eric Church']
"""Lights"" (CD Single)",Ellie Goulding,7gUpO6td4OOnu0Lf9vhcIV,Lights - Single Version,['Ellie Goulding']
"""Wide Awake"" (CD Single)",Katy Perry,5JLv62qFIS1DR3zGEcApRt,Wide Awake,['Katy Perry']
"""The Fighter"" (CD Single)",Gym Class Heroes,77ZdAoTHYoF6Umo76HFD4m,The Fighter (feat. Ryan Tedder),['Gym Class Heroes']
"""Good Time"" (CD Single)","Carly Rae Jepsen, Owl City",1kPpge9JDLpcj15qgrPbYX,Good Time,"['Owl City', 'Carly Rae Jepsen']"
"""Take a Little Ride"" (CD Single)",Jason Aldean,2o5mwv7hvas1jdUg14Nihv,Take A Little Ride,['Jason Aldean']
"""Chasing the Sun"" (CD Single)",The Wanted,4b4c0oH7PtrPsI86drzgFs,Chasing The Sun,['The Wanted']
"""Turn up the Radio"" (CD Single)",Madonna,68o8UWzJ8MbYoaFvExaPfl,Turn Up the Radio,['Madonna']
"""Goin' In"" (CD Single)",Jennifer Lopez,3FcuEYORBT54KSVDRhr4zC,Goin' In,"['Jennifer Lopez', 'Flo Rida']"
"""We Are Never Ever Getting Back Together"" (CD Single)",Taylor Swift,56pS4QDQpmAlaU0o8APZmU,We Are Never Ever Getting Back Together,['Taylor Swift']
"""I Will Wait"" (CD Single)",Mumford & Sons,0hm8rgOY17z7kQJlqGKbu7,I Will Wait,['Mumford & Sons']
"""Fast Car"" (CD Single)",Taio Cruz,6aj2PLLML1AF6Ja9tfULCk,Fast Car,['Taio Cruz']
"""Girl on Fire"" (CD Single)",Alicia Keys,4esOae7i4rqTbAu9o5Pxco,Girl on Fire,['Alicia Keys']
"""Between the Raindrops"" (CD Single)",Lifehouse,1nxGSNnFCpDLwm3umCOUpi,Between The Raindrops,"['Lifehouse', 'Natasha Bedingfield']"
